car_type,year,price,km,photo_url,prediccion
TESLA - MODEL 3,2019,17499,215000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/1271dc96-1319-433e-8b85-20b9b3b71bd9?rule=hw396_70,bueno
TESLA - MODEL 3,2019,23199,145300,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/9f8f1a6a-831e-41a0-93df-59e2d2160164?rule=hw396_70,neutral
TESLA - MODEL 3,2020,20500,125000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/108fce7b-a08e-48b6-8942-e1d54ef544bf?rule=hw396_70,malo
TESLA - MODEL 3,2019,17499,215000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/f4030459-aa3f-4976-814c-1df192ed1b26?rule=hw396_70,bueno
TESLA - MODEL 3,2023,34500,49000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/a698adbb-73fa-4309-9b19-47a14adf13fb?rule=hw396_70,neutral
TESLA - MODEL 3,2022,33990,57676,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/f044da19-3fb5-4fe4-89d9-76ba19b23536?rule=hw396_70,malo
TESLA - MODEL 3,2023,28990,34000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/bb74a0ef-149b-4907-8b68-b3531d4ac069?rule=hw396_70,bueno
TESLA - MODEL 3,2020,23000,163000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/dc72052e-f26f-49e6-81c3-2976159aa794?rule=hw396_70,bueno
TESLA - MODEL 3,2023,29000,95000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/46f0e526-f03f-43ee-b971-073b270780d2?rule=hw396_70,neutral
TESLA - MODEL 3,2019,24980,172000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/653b85b5-f772-4a2f-bf8e-3985a0c4a664?rule=hw396_70,malo
TESLA - MODEL Y,2023,34900,84413,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/d38aad1f-ddd3-490b-abc2-2efbcd44cbea?rule=hw396_70,bueno
TESLA - MODEL Y,2023,34900,84413,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/a9311288-a61f-44c7-ba43-0bd21938cf62?rule=hw396_70,bueno
TESLA - MODEL 3,2021,34900,39000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/a5e63459-1806-4828-ac9e-78015ad023a3?rule=hw396_70,bueno
TESLA - MODEL 3,2020,24990,172000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/821fd5bf-1bb9-474a-9548-6154b7682659?rule=hw396_70,malo
TESLA - MODEL 3,2023,41950,20,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/1204d4be-20e9-4f45-9d72-8bf6fa74edbe?rule=hw396_70,neutral
TESLA - MODEL 3,2021,23850,95000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/bf384fd8-928f-4a77-9ba4-4c843dab21e2?rule=hw396_70,bueno
TESLA - MODEL 3,2019,24900,87000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/fd0d5214-39e3-43f9-a21b-b44e06060c41?rule=hw396_70,bueno
