car_type,year,price,km,prediccion,color
AUDI - Q5,2016.0,19890.0,157000.0,neutral,black
AUDI - Q5,2023.0,55990.0,24245.0,neutral,black
AUDI - A5,2018.0,30490.0,70000.0,neutral,blue
AUDI - A3,2018.0,19990.0,59969.0,neutral,blue
BMW - SERIE 3,2018.0,22490.0,134924.0,neutral,silver
AUDI - A6,2020.0,36990.0,52678.0,neutral,blue
BMW - SERIE 2,2023.0,25490.0,57488.0,neutral,blue
BMW - X1,2020.0,24690.0,109249.0,neutral,black
BMW - X4,2019.0,35990.0,138136.0,neutral,black
BMW - SERIE 2,2018.0,13490.0,178778.0,neutral,blue
BMW - X1,2020.0,27990.0,112880.0,neutral,blue
AUDI - Q5,2018.0,30990.0,81600.0,neutral,grey
AUDI - A1,2020.0,18990.0,55672.0,neutral,tan
BMW - SERIE 2,2016.0,13490.0,131500.0,neutral,black
BMW - SERIE 4,2017.0,27490.0,92400.0,neutral,tan
AUDI - A4,2023.0,35490.0,43500.0,neutral,white
BMW - SERIE 1,2021.0,25690.0,29999.0,neutral,grey
BMW - SERIE 1,2022.0,21990.0,76610.0,neutral,red
AUDI - A3,2023.0,27690.0,14407.0,neutral,brown
BMW - X4,2018.0,31990.0,147595.0,neutral,blue
BMW - X3,2018.0,30990.0,97895.0,neutral,blue
AUDI - Q5,2019.0,26990.0,124505.0,neutral,silver
AUDI - A3,2023.0,31990.0,39000.0,neutral,grey
BMW - SERIE 2,2023.0,25490.0,67018.0,neutral,grey
BMW - SERIE 1,2022.0,26290.0,59000.0,neutral,blue
AUDI - Q3,2021.0,33990.0,47637.0,neutral,blue
BMW - SERIE 1,2021.0,19990.0,144500.0,neutral,grey
AUDI - A3,2017.0,21990.0,128748.0,neutral,white
AUDI - A5,2017.0,33990.0,84132.0,neutral,grey
AUDI - Q5,2023.0,46490.0,82418.0,malo,beige
